date,icon_seamless_temperature_2m,icon_seamless_relative_humidity_2m,icon_seamless_soil_temperature_54cm,icon_seamless_shortwave_radiation,icon_seamless_direct_radiation,icon_seamless_diffuse_radiation,icon_seamless_direct_normal_irradiance,icon_seamless_global_tilted_irradiance,icon_seamless_terrestrial_radiation,icon_global_temperature_2m,icon_global_relative_humidity_2m,icon_global_soil_temperature_54cm,icon_global_shortwave_radiation,icon_global_direct_radiation,icon_global_diffuse_radiation,icon_global_direct_normal_irradiance,icon_global_global_tilted_irradiance,icon_global_terrestrial_radiation,icon_eu_temperature_2m,icon_eu_relative_humidity_2m,icon_eu_soil_temperature_54cm,icon_eu_shortwave_radiation,icon_eu_direct_radiation,icon_eu_diffuse_radiation,icon_eu_direct_normal_irradiance,icon_eu_global_tilted_irradiance,icon_eu_terrestrial_radiation,icon_d2_temperature_2m,icon_d2_relative_humidity_2m,icon_d2_soil_temperature_54cm,icon_d2_shortwave_radiation,icon_d2_direct_radiation,icon_d2_diffuse_radiation,icon_d2_direct_normal_irradiance,icon_d2_global_tilted_irradiance,icon_d2_terrestrial_radiation
2024-12-07 23:00:00+00:00,5.0955,83.0,7.6955,0.0,0.0,0.0,0.0,0.0,0.0,5.302,86.0,7.352,0.0,0.0,0.0,0.0,0.0,0.0,5.4295,86.0,7.3795,0.0,0.0,0.0,0.0,0.0,0.0,5.0955,83.0,7.6955,0.0,0.0,0.0,0.0,0.0,0.0
2024-12-08 00:00:00+00:00,5.0455,84.0,7.6955,0.0,0.0,0.0,0.0,0.0,0.0,5.502,87.0,7.352,0.0,0.0,0.0,0.0,0.0,0.0,5.4795,86.0,7.3795,0.0,0.0,0.0,0.0,0.0,0.0,5.0455,84.0,7.6955,0.0,0.0,0.0,0.0,0.0,0.0
2024-12-08 01:00:00+00:00,4.8954997,83.0,7.6955,0.0,0.0,0.0,0.0,0.0,0.0,5.452,87.0,7.352,0.0,0.0,0.0,0.0,0.0,0.0,5.4795,86.0,7.3795,0.0,0.0,0.0,0.0,0.0,0.0,4.8954997,83.0,7.6955,0.0,0.0,0.0,0.0,0.0,0.0
2024-12-08 02:00:00+00:00,5.1955,84.0,7.6955,0.0,0.0,0.0,0.0,0.0,0.0,5.552,90.0,7.352,0.0,0.0,0.0,0.0,0.0,0.0,5.6295,89.0,7.3795,0.0,0.0,0.0,0.0,0.0,0.0,5.1955,84.0,7.6955,0.0,0.0,0.0,0.0,0.0,0.0
2024-12-08 03:00:00+00:00,5.3954997,85.0,7.6955,0.0,0.0,0.0,0.0,0.0,0.0,5.702,91.0,7.352,0.0,0.0,0.0,0.0,0.0,0.0,5.8295,91.0,7.4295,0.0,0.0,0.0,0.0,0.0,0.0,5.3954997,85.0,7.6955,0.0,0.0,0.0,0.0,0.0,0.0
2024-12-08 04:00:00+00:00,5.5455,82.0,7.6955,0.0,0.0,0.0,0.0,0.0,0.0,5.752,90.0,7.352,0.0,0.0,0.0,0.0,0.0,0.0,5.8795,90.0,7.4295,0.0,0.0,0.0,0.0,0.0,0.0,5.5455,82.0,7.6955,0.0,0.0,0.0,0.0,0.0,0.0
2024-12-08 05:00:00+00:00,5.3455,81.0,7.6955,0.0,0.0,0.0,0.0,0.0,0.0,5.652,90.0,7.352,0.0,0.0,0.0,0.0,0.0,0.0,5.9295,89.0,7.4295,0.0,0.0,0.0,0.0,0.0,0.0,5.3455,81.0,7.6955,0.0,0.0,0.0,0.0,0.0,0.0
2024-12-08 06:00:00+00:00,5.5455,84.0,7.6955,0.0,0.0,0.0,0.0,0.0,0.0,5.552,91.0,7.352,0.0,0.0,0.0,0.0,0.0,0.0,5.7295,91.0,7.4295,0.0,0.0,0.0,0.0,0.0,0.0,5.5455,84.0,7.6955,0.0,0.0,0.0,0.0,0.0,0.0
2024-12-08 07:00:00+00:00,5.4954996,86.0,7.6955,0.0,0.0,0.0,0.0,0.0,0.0,5.302,92.0,7.352,0.0,0.0,0.0,0.0,0.0,0.0,5.5795,91.0,7.4295,0.0,0.0,0.0,0.0,0.0,0.0,5.4954996,86.0,7.6955,0.0,0.0,0.0,0.0,0.0,0.0
2024-12-08 08:00:00+00:00,5.3455,89.0,7.6955,3.0,0.25,2.75,3.7753935,3.0,32.742676,5.152,92.0,7.352,3.0,0.0,3.0,0.0,3.0,33.26721,5.4795,91.0,7.4295,2.0,0.0,2.0,0.0,2.0,32.900208,5.3455,89.0,7.6955,3.0,0.25,2.75,3.7753935,3.0,32.742676
