date,icon_seamless_temperature_2m,icon_seamless_relative_humidity_2m,icon_seamless_soil_temperature_54cm,icon_seamless_shortwave_radiation,icon_seamless_direct_radiation,icon_seamless_diffuse_radiation,icon_seamless_direct_normal_irradiance,icon_seamless_global_tilted_irradiance,icon_seamless_terrestrial_radiation,icon_global_temperature_2m,icon_global_relative_humidity_2m,icon_global_soil_temperature_54cm,icon_global_shortwave_radiation,icon_global_direct_radiation,icon_global_diffuse_radiation,icon_global_direct_normal_irradiance,icon_global_global_tilted_irradiance,icon_global_terrestrial_radiation,icon_eu_temperature_2m,icon_eu_relative_humidity_2m,icon_eu_soil_temperature_54cm,icon_eu_shortwave_radiation,icon_eu_direct_radiation,icon_eu_diffuse_radiation,icon_eu_direct_normal_irradiance,icon_eu_global_tilted_irradiance,icon_eu_terrestrial_radiation,icon_d2_temperature_2m,icon_d2_relative_humidity_2m,icon_d2_soil_temperature_54cm,icon_d2_shortwave_radiation,icon_d2_direct_radiation,icon_d2_diffuse_radiation,icon_d2_direct_normal_irradiance,icon_d2_global_tilted_irradiance,icon_d2_terrestrial_radiation
2024-11-14 23:00:00+00:00,7.2955,90.0,9.8955,0.0,0.0,0.0,0.0,0.0,0.0,7.152,94.0,9.502,0.0,0.0,0.0,0.0,0.0,0.0,7.3295,94.0,9.8295,0.0,0.0,0.0,0.0,0.0,0.0,7.2955,90.0,9.8955,0.0,0.0,0.0,0.0,0.0,0.0
2024-11-15 00:00:00+00:00,7.3455,92.0,9.8955,0.0,0.0,0.0,0.0,0.0,0.0,7.502,98.0,9.502,0.0,0.0,0.0,0.0,0.0,0.0,7.4795,97.0,9.8295,0.0,0.0,0.0,0.0,0.0,0.0,7.3455,92.0,9.8955,0.0,0.0,0.0,0.0,0.0,0.0
2024-11-15 01:00:00+00:00,7.3954997,93.0,9.8955,0.0,0.0,0.0,0.0,0.0,0.0,7.152,98.0,9.502,0.0,0.0,0.0,0.0,0.0,0.0,6.8295,98.0,9.8295,0.0,0.0,0.0,0.0,0.0,0.0,7.3954997,93.0,9.8955,0.0,0.0,0.0,0.0,0.0,0.0
2024-11-15 02:00:00+00:00,7.2454996,94.0,9.8955,0.0,0.0,0.0,0.0,0.0,0.0,6.852,98.0,9.502,0.0,0.0,0.0,0.0,0.0,0.0,6.5295,98.0,9.8295,0.0,0.0,0.0,0.0,0.0,0.0,7.2454996,94.0,9.8955,0.0,0.0,0.0,0.0,0.0,0.0
2024-11-15 03:00:00+00:00,7.3455,95.0,9.8955,0.0,0.0,0.0,0.0,0.0,0.0,6.902,98.0,9.502,0.0,0.0,0.0,0.0,0.0,0.0,7.0795,98.0,9.8295,0.0,0.0,0.0,0.0,0.0,0.0,7.3455,95.0,9.8955,0.0,0.0,0.0,0.0,0.0,0.0
2024-11-15 04:00:00+00:00,7.0955,95.0,9.8955,0.0,0.0,0.0,0.0,0.0,0.0,6.902,98.0,9.502,0.0,0.0,0.0,0.0,0.0,0.0,6.9795,97.0,9.8295,0.0,0.0,0.0,0.0,0.0,0.0,7.0955,95.0,9.8955,0.0,0.0,0.0,0.0,0.0,0.0
2024-11-15 05:00:00+00:00,6.7955,96.0,9.8955,0.0,0.0,0.0,0.0,0.0,0.0,6.602,98.0,9.502,0.0,0.0,0.0,0.0,0.0,0.0,6.8295,98.0,9.8295,0.0,0.0,0.0,0.0,0.0,0.0,6.7955,96.0,9.8955,0.0,0.0,0.0,0.0,0.0,0.0
2024-11-15 06:00:00+00:00,6.9954996,95.0,9.8955,0.0,0.0,0.0,0.0,0.0,0.0,7.052,98.0,9.502,0.0,0.0,0.0,0.0,0.0,0.0,6.4795,98.0,9.8295,0.0,0.0,0.0,0.0,0.0,0.0,6.9954996,95.0,9.8955,0.0,0.0,0.0,0.0,0.0,0.0
2024-11-15 07:00:00+00:00,6.7454996,94.0,9.8955,0.0,0.0,0.0,0.0,0.0,0.0,6.202,100.0,9.502,0.0,0.0,0.0,0.0,0.0,0.0,5.4795,97.0,9.8295,0.0,0.0,0.0,0.0,0.0,0.0,6.7454996,94.0,9.8955,0.0,0.0,0.0,0.0,0.0,0.0
2024-11-15 08:00:00+00:00,6.4954996,95.0,9.8955,31.25,6.25,25.0,59.312744,31.250002,101.873665,6.002,99.0,9.502,33.0,7.0,26.0,66.19903,33.000004,102.86293,5.1795,98.0,9.7795,37.0,9.0,28.0,85.3224,37.0,102.093094,6.4954996,95.0,9.8955,31.25,6.25,25.0,59.312744,31.250002,101.873665
2024-11-15 09:00:00+00:00,7.3455,89.0,9.8955,113.25,41.0,72.25,213.19164,113.25,268.93573,7.252,93.0,9.502,130.0,59.0,71.0,305.66635,130.0,269.92258,6.6295,96.0,9.7795,131.0,61.0,70.0,316.75198,131.0,269.30554,7.3455,89.0,9.8955,113.25,41.0,72.25,213.19164,113.25,268.93573
2024-11-15 10:00:00+00:00,8.0955,84.0,9.8955,205.0,96.5,108.5,342.44144,205.0,394.07938,8.302,83.0,9.502,232.0,152.0,80.0,538.12415,231.99997,395.00613,7.9795,85.0,9.7795,219.0,124.0,95.0,439.46573,218.99998,394.58392,8.0955,84.0,9.8955,205.0,96.5,108.5,342.44144,205.0,394.07938
2024-11-15 11:00:00+00:00,8.7455,75.0,9.8955,230.25,101.75,128.5,303.54736,230.25003,468.7687,8.802,78.0,9.502,261.0,153.0,108.0,455.64853,261.0,469.5827,8.6295,78.0,9.7795,265.0,143.0,122.0,426.04785,265.00003,469.38403,8.7455,75.0,9.8955,230.25,101.75,128.5,303.54736,230.25003,468.7687
2024-11-15 12:00:00+00:00,8.8455,71.0,9.8955,156.0,34.5,121.5,98.88731,156.0,487.907,9.102,76.0,9.502,256.0,146.0,110.0,417.918,256.0,488.56268,8.8295,76.0,9.7795,246.0,114.0,132.0,326.29388,245.99997,488.60107,8.8455,71.0,9.8955,156.0,34.5,121.5,98.88731,156.0,487.907
2024-11-15 13:00:00+00:00,8.945499,70.0,9.8955,125.25,16.25,109.0,50.48149,125.25,450.18146,9.152,73.0,9.502,208.0,100.0,108.0,310.3363,208.00002,450.64423,8.8295,75.0,9.7795,204.0,91.0,113.0,282.23502,204.0,450.91727,8.945499,70.0,9.8955,125.25,16.25,109.0,50.48149,125.25,450.18146
2024-11-15 14:00:00+00:00,8.8455,69.0,9.8955,89.0,8.0,81.0,31.238768,89.0,358.15448,9.052,69.0,9.502,134.0,51.0,83.0,199.00893,134.00002,358.4032,8.6795,74.0,9.7795,143.0,52.0,91.0,202.63492,142.99998,358.89163,8.8455,69.0,9.8955,89.0,8.0,81.0,31.238768,89.0,358.15448
2024-11-15 15:00:00+00:00,8.5955,70.0,9.8955,37.25,1.25,36.0,8.016094,37.25,218.08678,8.702,71.0,9.502,63.0,17.0,46.0,109.00491,63.000004,218.11472,8.3295,75.0,9.7795,79.0,25.0,54.0,159.80968,79.00001,218.78578,8.5955,70.0,9.8955,37.25,1.25,36.0,8.016094,37.25,218.08678
2024-11-15 16:00:00+00:00,8.1455,77.0,9.8955,7.5,0.0,7.5,0.0,7.5,58.434685,8.102,74.0,9.502,10.0,1.0,9.0,11.858043,10.0,58.388885,7.4795,79.0,9.7795,14.0,2.0,12.0,23.640358,14.0,58.77976,8.1455,77.0,9.8955,7.5,0.0,7.5,0.0,7.5,58.434685
2024-11-15 17:00:00+00:00,6.9954996,85.0,9.8955,0.0,0.0,0.0,0.0,0.0,0.0,7.502,76.0,9.502,0.0,0.0,0.0,0.0,0.0,0.0,6.7295,83.0,9.7795,0.0,0.0,0.0,0.0,0.0,0.0,6.9954996,85.0,9.8955,0.0,0.0,0.0,0.0,0.0,0.0
2024-11-15 18:00:00+00:00,6.0955,86.0,9.8955,0.0,0.0,0.0,0.0,0.0,0.0,6.902,78.0,9.502,0.0,0.0,0.0,0.0,0.0,0.0,6.1295,86.0,9.7795,0.0,0.0,0.0,0.0,0.0,0.0,6.0955,86.0,9.8955,0.0,0.0,0.0,0.0,0.0,0.0
2024-11-15 19:00:00+00:00,5.8954997,88.0,9.8955,0.0,0.0,0.0,0.0,0.0,0.0,6.452,80.0,9.502,0.0,0.0,0.0,0.0,0.0,0.0,5.8795,86.0,9.7795,0.0,0.0,0.0,0.0,0.0,0.0,5.8954997,88.0,9.8955,0.0,0.0,0.0,0.0,0.0,0.0
2024-11-15 20:00:00+00:00,5.5455,90.0,9.8955,0.0,0.0,0.0,0.0,0.0,0.0,6.302,79.0,9.502,0.0,0.0,0.0,0.0,0.0,0.0,5.7795,84.0,9.7795,0.0,0.0,0.0,0.0,0.0,0.0,5.5455,90.0,9.8955,0.0,0.0,0.0,0.0,0.0,0.0
2024-11-15 21:00:00+00:00,5.4455,89.0,9.8955,0.0,0.0,0.0,0.0,0.0,0.0,6.002,79.0,9.502,0.0,0.0,0.0,0.0,0.0,0.0,5.5795,85.0,9.7295,0.0,0.0,0.0,0.0,0.0,0.0,5.4455,89.0,9.8955,0.0,0.0,0.0,0.0,0.0,0.0
2024-11-15 22:00:00+00:00,4.9954996,91.0,9.8955,0.0,0.0,0.0,0.0,0.0,0.0,5.352,84.0,9.502,0.0,0.0,0.0,0.0,0.0,0.0,5.3295,86.0,9.7295,0.0,0.0,0.0,0.0,0.0,0.0,4.9954996,91.0,9.8955,0.0,0.0,0.0,0.0,0.0,0.0
2024-11-15 23:00:00+00:00,4.9455,91.0,9.8955,0.0,0.0,0.0,0.0,0.0,0.0,5.002,87.0,9.502,0.0,0.0,0.0,0.0,0.0,0.0,4.9295,90.0,9.7295,0.0,0.0,0.0,0.0,0.0,0.0,4.9455,91.0,9.8955,0.0,0.0,0.0,0.0,0.0,0.0
2024-11-16 00:00:00+00:00,4.9954996,91.0,9.8955,0.0,0.0,0.0,0.0,0.0,0.0,4.702,88.0,9.452,0.0,0.0,0.0,0.0,0.0,0.0,4.7795,90.0,9.7295,0.0,0.0,0.0,0.0,0.0,0.0,4.9954996,91.0,9.8955,0.0,0.0,0.0,0.0,0.0,0.0
2024-11-16 01:00:00+00:00,4.7955,91.0,9.8455,0.0,0.0,0.0,0.0,0.0,0.0,4.752,88.0,9.452,0.0,0.0,0.0,0.0,0.0,0.0,4.7795,88.0,9.7295,0.0,0.0,0.0,0.0,0.0,0.0,4.7955,91.0,9.8455,0.0,0.0,0.0,0.0,0.0,0.0
2024-11-16 02:00:00+00:00,4.4954996,89.0,9.8455,0.0,0.0,0.0,0.0,0.0,0.0,4.802,87.0,9.452,0.0,0.0,0.0,0.0,0.0,0.0,4.9295,87.0,9.7295,0.0,0.0,0.0,0.0,0.0,0.0,4.4954996,89.0,9.8455,0.0,0.0,0.0,0.0,0.0,0.0
2024-11-16 03:00:00+00:00,4.4455,88.0,9.8455,0.0,0.0,0.0,0.0,0.0,0.0,4.752,86.0,9.452,0.0,0.0,0.0,0.0,0.0,0.0,4.6795,87.0,9.6795,0.0,0.0,0.0,0.0,0.0,0.0,4.4455,88.0,9.8455,0.0,0.0,0.0,0.0,0.0,0.0
2024-11-16 04:00:00+00:00,4.5455,87.0,9.8455,0.0,0.0,0.0,0.0,0.0,0.0,4.352,86.0,9.452,0.0,0.0,0.0,0.0,0.0,0.0,4.4795,87.0,9.6795,0.0,0.0,0.0,0.0,0.0,0.0,4.5455,87.0,9.8455,0.0,0.0,0.0,0.0,0.0,0.0
2024-11-16 05:00:00+00:00,4.4954996,86.0,9.7955,0.0,0.0,0.0,0.0,0.0,0.0,3.902,86.0,9.402,0.0,0.0,0.0,0.0,0.0,0.0,4.0795,86.0,9.6795,0.0,0.0,0.0,0.0,0.0,0.0,4.4954996,86.0,9.7955,0.0,0.0,0.0,0.0,0.0,0.0
2024-11-16 06:00:00+00:00,4.3954997,84.0,9.7955,0.0,0.0,0.0,0.0,0.0,0.0,3.902,85.0,9.402,0.0,0.0,0.0,0.0,0.0,0.0,3.7795,86.0,9.6295,0.0,0.0,0.0,0.0,0.0,0.0,4.3954997,84.0,9.7955,0.0,0.0,0.0,0.0,0.0,0.0
2024-11-16 07:00:00+00:00,4.0955,85.0,9.7955,0.0,0.0,0.0,0.0,0.0,0.0,3.902,84.0,9.402,0.0,0.0,0.0,0.0,0.0,0.0,3.9295,84.0,9.6295,0.0,0.0,0.0,0.0,0.0,0.0,4.0955,85.0,9.7955,0.0,0.0,0.0,0.0,0.0,0.0
